Nanometers   Percentual
-----------------------
362.6;         0.2
363.3;         0.2
364.0;         0.2
364.7;         0.1
365.4;         0.1
366.1;         0.1
366.7;         0.2
367.4;         0.2
368.1;         0.2
368.8;         0.2
369.5;         0.2
370.2;         0.2
370.9;         0.2
371.6;         0.1
372.3;         0.2
373.0;         0.2
373.7;         0.2
374.4;         0.2
375.1;         0.1
375.7;         0.1
376.4;         0.1
377.1;         0.1
377.8;         0.1
378.5;         0.1
379.2;         0.1
379.9;         0.1
380.6;         0.1
381.3;         0.1
382.0;         0.1
382.7;         0.1
383.4;         0.1
384.1;         0.1
384.8;         0.1
385.4;         0.1
386.1;         0.2
386.8;         0.2
387.5;         0.1
388.2;         0.1
388.9;         0.1
389.6;         0.1
390.3;         0.1
391.0;         0.1
391.7;         0.1
392.4;         0.1
393.1;         0.1
393.8;         0.1
394.5;         0.1
395.1;         0.1
395.8;         0.1
396.5;         0.1
397.2;         0.2
397.9;         0.2
398.6;         0.1
399.3;         0.1
400.0;         0.1
400.7;         0.1
401.4;         0.1
402.1;         0.1
402.8;         0.1
403.5;         0.1
404.1;         0.1
404.8;         0.1
405.5;         0.2
406.2;         0.2
406.9;         0.2
407.6;         0.2
408.3;         0.1
409.0;         0.1
409.7;         0.1
410.4;         0.2
411.1;         0.1
411.8;         0.1
412.5;         0.2
413.2;         0.1
413.8;         0.1
414.5;         0.1
415.2;         0.1
415.9;         0.1
416.6;         0.1
417.3;         0.1
418.0;         0.1
418.7;         0.0
419.4;         0.1
420.1;         0.1
420.8;         0.1
421.5;         0.1
422.2;         0.1
422.9;         0.1
423.5;         0.1
424.2;         0.1
424.9;         0.1
425.6;         0.1
426.3;         0.1
427.0;         0.1
427.7;         0.1
428.4;         0.2
429.1;         0.2
429.8;         0.2
430.5;         0.2
431.2;         0.2
431.9;         0.1
432.5;         0.1
433.2;         0.2
433.9;         0.2
434.6;         0.2
435.3;         0.1
436.0;         0.1
436.7;         0.1
437.4;         0.1
438.1;         0.1
438.8;         0.1
439.5;         0.2
440.2;         0.2
440.9;         0.1
441.6;         0.1
442.2;         0.1
442.9;         0.1
443.6;         0.1
444.3;         0.1
445.0;         0.1
445.7;         0.1
446.4;         0.1
447.1;         0.1
447.8;         0.1
448.5;         0.1
449.2;         0.1
449.9;         0.1
450.6;         0.1
451.3;         0.1
451.9;         0.1
452.6;         0.1
453.3;         0.1
454.0;         0.2
454.7;         0.3
455.4;         0.3
456.1;         0.3
456.8;         0.2
457.5;         0.2
458.2;         0.1
458.9;         0.2
459.6;         0.2
460.3;         0.2
460.9;         0.3
461.6;         0.4
462.3;         0.4
463.0;         0.5
463.7;         0.7
464.4;         0.8
465.1;         1.1
465.8;         1.3
466.5;         1.8
467.2;         2.0
467.9;         2.4
468.6;         2.6
469.3;         3.3
470.0;         3.7
470.6;         4.5
471.3;         5.0
472.0;         6.3
472.7;         7.7
473.4;         8.9
474.1;         9.7
474.8;        11.8
475.5;        13.6
476.2;        16.0
476.9;        17.9
477.6;        21.6
478.3;        24.0
479.0;        28.7
479.7;        31.8
480.3;        37.0
481.0;        40.7
481.7;        45.0
482.4;        47.6
483.1;        54.0
483.8;        56.7
484.5;        61.8
485.2;        65.0
485.9;        70.0
486.6;        73.2
487.3;        77.6
488.0;        80.4
488.7;        84.6
489.3;        87.1
490.0;        89.7
490.7;        91.3
491.4;        94.5
492.1;        95.9
492.8;        97.4
493.5;        98.4
494.2;        99.3
494.9;        99.6
495.6;        99.9
496.3;       100.0
497.0;       100.0
497.7;        99.9
498.4;        99.8
499.0;        99.7
499.7;        99.6
500.4;        99.3
501.1;        98.9
501.8;        98.2
502.5;        97.8
503.2;        97.4
503.9;        97.2
504.6;        96.8
505.3;        96.5
506.0;        96.2
506.7;        95.8
507.4;        95.3
508.1;        95.0
508.7;        94.7
509.4;        94.8
510.1;        94.8
510.8;        95.0
511.5;        95.0
512.2;        95.1
512.9;        95.0
513.6;        95.1
514.3;        95.0
515.0;        95.0
515.7;        94.8
516.4;        94.6
517.1;        94.1
517.7;        93.6
518.4;        92.8
519.1;        92.0
519.8;        91.2
520.5;        90.0
521.2;        89.1
521.9;        87.9
522.6;        87.1
523.3;        86.0
524.0;        85.1
524.7;        84.3
525.4;        83.6
526.1;        82.6
526.8;        82.1
527.4;        81.5
528.1;        80.8
528.8;        79.9
529.5;        79.2
530.2;        78.2
530.9;        77.2
531.6;        75.3
532.3;        74.4
533.0;        72.2
533.7;        70.8
534.4;        68.4
535.1;        67.1
535.8;        65.2
536.5;        64.0
537.1;        61.8
537.8;        60.4
538.5;        58.3
539.2;        57.5
539.9;        55.0
540.6;        53.8
541.3;        51.2
542.0;        49.8
542.7;        47.7
543.4;        46.8
544.1;        44.2
544.8;        43.1
545.5;        41.7
546.1;        41.0
546.8;        39.0
547.5;        38.0
548.2;        35.9
548.9;        34.2
549.6;        31.8
550.3;        31.2
551.0;        28.5
551.7;        26.8
552.4;        24.8
553.1;        24.1
553.8;        21.8
554.5;        20.5
555.2;        18.7
555.8;        18.1
556.5;        15.5
557.2;        15.1
557.9;        12.8
558.6;        11.9
559.3;        10.1
560.0;         9.5
560.7;         8.1
561.4;         7.7
562.1;         6.7
562.8;         6.3
563.5;         5.1
564.2;         4.7
564.9;         4.1
565.5;         3.7
566.2;         3.0
566.9;         2.6
567.6;         1.8
568.3;         1.8
569.0;         1.5
569.7;         1.3
570.4;         1.0
571.1;         0.9
571.8;         0.7
572.5;         0.6
573.2;         0.5
573.9;         0.5
574.5;         0.5
575.2;         0.4
575.9;         0.2
